Price,Close,High,Low,Open,Volume
Ticker,TREX,TREX,TREX,TREX,TREX
Date,,,,,
2023-02-14,56.79999923706055,56.95000076293945,55.380001068115234,56.27000045776367,816300
2023-02-15,56.65999984741211,57.20000076293945,55.65999984741211,56.33000183105469,631300
2023-02-16,55.65999984741211,56.150001525878906,55.0,55.400001525878906,1131000
2023-02-17,53.790000915527344,55.439998626708984,53.47999954223633,55.2599983215332,809300
2023-02-21,50.43000030517578,52.95000076293945,50.380001068115234,52.31999969482422,1463100
2023-02-22,51.08000183105469,51.470001220703125,50.5,50.5,916500
2023-02-23,51.5099983215332,51.95000076293945,50.90999984741211,51.52000045776367,940400
2023-02-24,50.150001525878906,50.79999923706055,49.720001220703125,50.34000015258789,1267400
2023-02-27,51.400001525878906,51.95000076293945,50.40999984741211,50.470001220703125,1710500
2023-02-28,51.130001068115234,54.630001068115234,50.060001373291016,53.0,2803400
2023-03-01,50.400001525878906,52.20000076293945,50.209999084472656,50.7599983215332,1804600
2023-03-02,50.900001525878906,51.040000915527344,49.099998474121094,49.709999084472656,1053200
2023-03-03,52.86000061035156,53.13999938964844,50.9900016784668,51.540000915527344,901000
2023-03-06,50.88999938964844,53.22999954223633,50.720001220703125,53.0099983215332,1009900
2023-03-07,51.029998779296875,51.380001068115234,50.310001373291016,50.88999938964844,889900
2023-03-08,52.15999984741211,52.47999954223633,50.86000061035156,51.349998474121094,878600
2023-03-09,50.70000076293945,53.060001373291016,50.61000061035156,51.970001220703125,1067900
2023-03-10,48.81999969482422,50.810001373291016,48.130001068115234,50.810001373291016,1205200
2023-03-13,48.65999984741211,49.34000015258789,47.310001373291016,47.83000183105469,845200
2023-03-14,49.08000183105469,50.439998626708984,48.349998474121094,49.7599983215332,1062500
2023-03-15,48.349998474121094,49.150001525878906,47.5,48.09000015258789,1013000
2023-03-16,47.900001525878906,48.84000015258789,47.34000015258789,47.880001068115234,1599400
2023-03-17,46.66999816894531,47.86000061035156,46.22999954223633,47.61000061035156,1463900
2023-03-20,46.9900016784668,47.36000061035156,46.18000030517578,46.900001525878906,668800
2023-03-21,48.810001373291016,48.90999984741211,47.5,47.58000183105469,981700
2023-03-22,47.02000045776367,48.83000183105469,47.0,48.630001068115234,652500
2023-03-23,46.52000045776367,48.08000183105469,45.66999816894531,47.29999923706055,1264100
2023-03-24,46.290000915527344,46.310001373291016,44.900001525878906,45.810001373291016,656200
2023-03-27,46.43000030517578,46.720001220703125,45.91999816894531,46.720001220703125,731700
2023-03-28,46.349998474121094,47.13999938964844,45.970001220703125,46.41999816894531,551700
2023-03-29,46.84000015258789,47.16999816894531,45.86000061035156,47.16999816894531,573000
2023-03-30,46.54999923706055,47.68000030517578,46.529998779296875,47.439998626708984,529600
2023-03-31,48.66999816894531,49.04999923706055,47.029998779296875,47.130001068115234,1709300
2023-04-03,49.369998931884766,49.4900016784668,48.52000045776367,48.52000045776367,1217300
2023-04-04,47.7599983215332,49.36000061035156,47.470001220703125,49.36000061035156,635000
2023-04-05,47.5,48.130001068115234,46.84000015258789,47.33000183105469,970200
2023-04-06,47.959999084472656,48.099998474121094,46.84000015258789,47.459999084472656,884100
2023-04-10,48.900001525878906,49.119998931884766,47.65999984741211,47.70000076293945,886500
2023-04-11,50.11000061035156,50.470001220703125,49.4900016784668,49.5,742000
2023-04-12,50.56999969482422,51.7400016784668,50.18000030517578,51.540000915527344,830700
2023-04-13,51.5099983215332,51.720001220703125,50.29999923706055,51.130001068115234,930100
2023-04-14,51.939998626708984,52.2599983215332,51.20000076293945,51.290000915527344,616700
2023-04-17,52.209999084472656,52.29999923706055,51.470001220703125,51.779998779296875,548000
2023-04-18,53.18000030517578,53.189998626708984,52.400001525878906,52.52000045776367,791600
2023-04-19,54.52000045776367,54.75,53.279998779296875,53.810001373291016,1548600
2023-04-20,53.75,55.560001373291016,53.709999084472656,54.099998474121094,1661600
2023-04-21,53.65999984741211,54.22999954223633,53.150001525878906,53.66999816894531,755300
2023-04-24,55.189998626708984,56.0,54.25,55.29999923706055,902300
2023-04-25,53.68000030517578,55.470001220703125,53.619998931884766,54.93000030517578,873300
2023-04-26,52.16999816894531,54.15999984741211,51.97999954223633,53.68000030517578,677800
2023-04-27,54.029998779296875,54.59000015258789,52.47999954223633,52.77000045776367,876800
2023-04-28,54.65999984741211,55.2400016784668,53.970001220703125,54.380001068115234,697500
2023-05-01,54.72999954223633,54.93000030517578,54.2599983215332,54.380001068115234,624600
2023-05-02,54.560001373291016,54.779998779296875,53.40999984741211,54.439998626708984,803400
