Date,Open,High,Low,Close,Volume
2023-02-16,260.4076728209646,263.0904590395369,258.31668343443744,258.5632629394531,29603600
2023-02-17,255.84105571403794,256.5314602951584,252.49742304676738,254.52923583984375,30000100
2023-02-21,250.99823082473256,251.9944217573943,248.14777206151032,249.21299743652344,28397400
2023-02-22,250.61358086515105,250.86016040830225,246.914887717883,248.06887817382812,22491100
2023-02-23,252.0634712378697,253.32595730208965,247.05297308611262,251.28428649902344,29219100
2023-02-24,246.54010733662923,247.56587165694333,244.70555485701118,245.8102264404297,24990900
2023-02-27,249.00588520460076,249.36096033836793,245.97788127913898,246.7373504638672,21190000
2023-02-28,245.6622592388617,248.04914726252943,245.32689964295895,246.00746154785156,22491000
2023-03-01,247.32913256854502,247.4968048471562,242.42713018495667,242.90057373046875,27565300
2023-03-02,243.17675362806392,247.96038783673535,242.24961211812996,247.6743621826172,24808200
2023-03-03,248.73955740111904,252.12262116972,247.95049993219732,251.79713439941406,30760100
2023-03-06,252.92157787116935,256.56109456767734,252.47773767525854,253.35556030273438,24109800
2023-03-07,252.7933226938157,254.16431933176884,249.92314839607042,250.67274475097656,21473200
2023-03-08,250.56422635498393,251.05738537123528,247.37842332400538,250.2288818359375,17340200
2023-03-09,252.31991130747735,256.00873148264196,248.13791701716175,248.8677978515625,26653400
2023-03-10,247.64474973674507,249.3313452555301,244.21236697130587,245.18881225585938,28333900
2023-03-13,244.0151089187801,254.38132250393278,242.36795938303734,250.44590759277344,33339700
2023-03-14,253.2371599508845,257.4980611612143,252.35933748625902,257.2218933105469,33620300
2023-03-15,256.42297008681516,262.834037227096,255.6634859461734,261.8082580566406,46028000
2023-03-16,261.58142474678226,272.77614162435196,259.67783796593795,272.42108154296875,54768800
2023-03-17,274.4529275725675,279.4535382549273,272.53946774774266,275.6069030761719,69527400
2023-03-20,273.19038178773764,273.6835408081574,266.15792934054593,268.50537109375,43466600
2023-03-21,271.1191663037998,271.2375196781977,265.8324848136853,270.0342102050781,34558700
2023-03-22,269.65934324244984,277.1948274357684,268.456034042471,268.5645446777344,34873300
2023-03-23,274.137282393425,277.21459035555193,271.4347801625903,273.8611145019531,36610900
2023-03-24,273.44680624813554,276.79043888196287,271.5136313002802,276.73126220703125,28172000
2023-03-27,276.66225903833964,277.60911609580637,271.7503834964028,272.5986328125,26840200
2023-03-28,272.0166912251704,272.36190859794345,268.32784087331277,271.46435546875,21878600
2023-03-29,275.1433079190786,277.29350440292745,274.6008449662974,276.672119140625,25087000
2023-03-30,280.3411953822254,280.56802927390424,277.6288206944652,280.16363525390625,25053400
2023-03-31,279.84804837782394,285.31222903893445,279.12802532101676,284.3554992675781,32766000
2023-04-03,282.5998633452524,284.32592009457954,280.0650485951288,283.3001708984375,24883300
2023-04-04,283.30015793950093,286.47610341698794,281.7615041156291,283.2508239746094,25824300
2023-04-05,281.9390264319253,283.22122788337555,279.0491217097848,280.4496765136719,22064800
