Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,12_EMA,26_EMA,MACD,Signal,Buy Volume,Sell Volume
2023-02-06 00:00:00-05:00,55.310001373291016,55.77000045776367,54.310001373291016,55.290000915527344,861900,0.0,0.0,55.290000915527344,55.290000915527344,0.0,0.0,0,861900
2023-02-07 00:00:00-05:00,54.84000015258789,55.79999923706055,54.189998626708984,55.63999938964844,639700,0.0,0.0,55.3438468346229,55.3159267284252,0.027920106197704797,0.00558402123954096,639700,0
2023-02-08 00:00:00-05:00,55.16999816894531,55.650001525878906,54.400001525878906,55.119998931884766,717500,0.0,0.0,55.30940869574012,55.30141355831109,0.007995137429027466,0.006066244477438261,0,717500
2023-02-09 00:00:00-05:00,57.029998779296875,59.84000015258789,56.790000915527344,57.22999954223633,2737800,0.0,0.0,55.604884210585695,55.444271779342586,0.1606124312431092,0.036975481830572456,2737800,0
2023-02-10 00:00:00-05:00,55.91999816894531,56.66999816894531,55.22999954223633,55.849998474121094,1241100,0.0,0.0,55.64259409728345,55.47432560858544,0.16826848869801125,0.06323408320406021,0,1241100
2023-02-13 00:00:00-05:00,55.790000915527344,56.810001373291016,55.08000183105469,56.790000915527344,874500,0.0,0.0,55.81911822316712,55.57178303872928,0.2473351844378442,0.100054303450817,874500,0
2023-02-14 00:00:00-05:00,56.27000045776367,56.95000076293945,55.380001068115234,56.79999923706055,816300,0.0,0.0,55.97002299453534,55.662762016383454,0.3072609781518878,0.1414956383910312,816300,0
2023-02-15 00:00:00-05:00,56.33000183105469,57.20000076293945,55.65999984741211,56.65999984741211,631300,0.0,0.0,56.076173279593306,55.73663148534854,0.3395417942447665,0.18110486956177824,631300,0
2023-02-16 00:00:00-05:00,55.400001525878906,56.150001525878906,55.0,55.65999984741211,1131000,0.0,0.0,56.01214659771928,55.73095506772362,0.28119152999565955,0.2011222016485545,1131000,0
2023-02-17 00:00:00-05:00,55.2599983215332,55.439998626708984,53.47999954223633,53.790000915527344,809300,0.0,0.0,55.670278031228214,55.58718068607945,0.0830973451487651,0.17751723034859662,0,809300
2023-02-21 00:00:00-05:00,52.31999969482422,52.95000076293945,50.380001068115234,50.43000030517578,1463100,0.0,0.0,54.86408145798938,55.20516732453103,-0.34108586654165407,0.0737966109705465,0,1463100
2023-02-22 00:00:00-05:00,50.5,51.470001220703125,50.5,51.08000183105469,916500,0.0,0.0,54.28191536153789,54.89959951019945,-0.6176841486615601,-0.06449954095587482,916500,0
2023-02-23 00:00:00-05:00,51.52000045776367,51.95000076293945,50.90999984741211,51.5099983215332,940400,0.0,0.0,53.85546658615255,54.64851794066862,-0.7930513545160665,-0.21020990366791317,0,940400
2023-02-24 00:00:00-05:00,50.34000015258789,50.79999923706055,49.720001220703125,50.150001525878906,1267400,0.0,0.0,53.285395038418145,54.31529450253605,-1.0298994641179036,-0.3741478157579113,0,1267400
2023-02-27 00:00:00-05:00,50.470001220703125,51.95000076293945,50.40999984741211,51.400001525878906,1710500,0.0,0.0,52.99533449802749,54.09934687463552,-1.1040123766080328,-0.5201207279279356,1710500,0
