Price,Close,High,Low,Open,Volume,SMA,SMA_BB
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL,,
Date,,,,,,,
2023-01-31,142.78842163085938,142.83790431967665,140.7993443803763,141.21497178644756,65874500,,
2023-02-01,143.91656494140625,145.0842930380827,139.84935044958516,142.47176699297287,77663600,,
2023-02-02,149.25051879882812,149.60675801028222,146.62808661450947,147.35048573773668,118339000,,
2023-02-03,152.8922119140625,155.7422463273732,146.29162438323533,146.48954008415967,154357300,,
2023-02-06,150.15101623535156,151.50676958668788,149.2109054384384,150.98228624419954,69858300,,
2023-02-07,153.04061889648438,153.61458490158566,149.07235465259149,149.07235465259149,83322600,,
2023-02-08,150.33905029296875,152.97137275977542,149.5968551305232,152.2786602948261,64120100,,
2023-02-09,149.2999725341797,152.7239728262669,148.8546584612201,152.17969335931676,56007100,,
2023-02-10,149.6667022705078,149.99376860779552,147.89263166612992,148.13050221771812,57450700,,
2023-02-13,152.4814453125,152.88778669579239,149.57750103615223,149.60723296363568,62199000,,
2023-02-14,151.8372039794922,152.402140794644,149.5180231156205,150.7668093216158,61707600,,
2023-02-15,153.94825744628906,154.11674338956908,151.52005454611242,151.74800433724963,65573800,,
2023-02-16,152.34268188476562,154.939370878608,151.98588365390484,152.1444488830226,68167900,,
2023-02-17,151.19297790527344,151.63897185671203,149.50810346480944,150.99476005163993,59144100,,
2023-02-21,147.15919494628906,149.95411695272674,147.08982549385345,148.8638959311259,58867200,,
2023-02-22,147.58535766601562,148.61609957273427,145.85092499148843,147.54570502168832,51011300,,
2023-02-23,148.07098388671875,149.00262439569616,145.93020998357426,148.75484830811928,48394200,,
2023-02-24,145.4049530029297,145.88067894533623,144.4237540688521,145.8013887677593,55469600,,
2023-02-27,146.6041717529297,147.84305234351663,146.13835144102467,146.39604828262136,44998500,,
2023-02-28,146.0987091064453,147.7538517062128,145.5238667165713,145.74191090318052,50547000,,149.20355072021485
2023-03-01,144.01736450195312,145.9202829575713,143.72003018509525,145.5238472837952,55479000,,149.26499786376954
2023-03-02,144.612060546875,145.40494716777042,142.61993083245534,143.09567187882521,52238100,,149.29977264404297
2023-03-03,149.68650817871094,149.7657983517578,146.01942463285462,146.72310034368257,70732300,,149.32157211303712
2023-03-06,152.46160888671875,154.9096382410585,152.09490505667793,152.42195623733048,87558000,,149.30004196166993
2023-03-07,150.25146484375,152.65984178567712,149.7856444674581,152.3327754497877,56182000,,149.30506439208983
2023-03-08,151.5101318359375,152.104800552819,150.47938986613707,151.4506679888601,47204800,,149.2285400390625
2023-03-09,149.25039672851562,153.16525578913198,148.89359856645896,152.19397778472012,53833600,,149.17410736083986
2023-03-10,147.1790008544922,149.59729796835543,146.2969185586702,148.87379600332346,68572400,,149.06805877685548
2023-03-13,149.13148498535156,151.77773200211703,146.38612147623616,146.49514356859967,84457100,,149.04129791259766
2023-03-14,151.23263549804688,152.03542774179175,148.7647949151356,149.93429099292322,73695900,,148.978857421875
2023-03-15,151.62905883789062,151.88674052270053,148.586361246658,149.8450679963741,77167900,,148.96845016479492
2023-03-16,154.46363830566406,155.06821263966182,150.29108181642482,150.80646037730506,76161100,,148.99421920776368
2023-03-17,153.62120056152344,155.34572787019124,152.90760409745778,154.69159525762194,98944600,,149.05814514160156
2023-03-20,155.99984741210938,156.41612462417007,152.77875768053804,153.69058715899433,73641400,,149.29848861694336
2023-03-21,157.86312866210938,157.98205636658307,155.14749679987165,155.92057224811566,73938300,,149.83368530273438
2023-03-22,156.426025390625,160.6976833752444,156.40619906612653,157.88295021864405,75701800,,150.27571868896484
2023-03-23,157.5162353515625,160.11293949819742,156.2773546917545,157.41713397261083,67622100,,150.74798126220702
2023-03-24,158.82447814941406,158.9136739147859,156.44583366784832,157.44684365525544,59196500,,151.41895751953126
2023-03-27,156.8720245361328,159.3398802717359,156.46566804738902,158.51726169320153,52390300,,151.9323501586914
2023-03-28,156.24761962890625,157.08015890910474,154.5924769153983,156.56478033051607,45992200,,152.43979568481444
2023-03-29,159.33987426757812,159.6173823169816,157.9325076961592,157.95231889750627,51305700,,153.2059211730957
2023-03-30,160.91571044921875,161.0247325377752,159.83541028637475,160.09309198521143,49501700,,154.0211036682129
2023-03-31,163.43312072753906,163.53223722356282,160.46972804690907,160.99501220511618,68749800,,154.70843429565429
2023-04-03,164.6918182373047,164.81074592730272,162.75916765957112,162.80872590475465,56976200,,155.3199447631836
2023-04-04,164.15663146972656,165.35585936030904,163.6412529320187,165.1180039760234,46278300,,156.01520309448242
2023-04-05,162.3032684326172,163.58180171406576,160.36071207007467,163.27456173694304,51511700,,156.55485992431642
2023-04-06,163.1952667236328,163.492601091182,160.55892518671305,160.98509285252538,45390100,,157.25210342407226
2023-04-10,160.5886688232422,160.5886688232422,158.6560179778013,159.98409444358578,47716900,,157.92258682250977
2023-04-11,159.36962890625,160.9157497227261,159.08220009215376,160.9058441206408,47644200,,158.4344940185547
2023-04-12,158.67584228515625,160.61839870707885,158.35868157452518,159.78587452625487,50133100,,158.80665435791016
2023-04-13,164.08724975585938,164.32512026733755,159.98407795194623,160.19221653987137,68445600,,159.4295639038086
2023-04-14,163.74037170410156,164.84049824090104,162.36273713306923,163.1258766656828,49386500,,159.89340057373047
2023-04-17,163.7601776123047,163.91875794761413,162.57085534359018,163.62142359967223,41516200,,160.40034942626954
2023-04-18,164.98916625976562,165.9208069034402,164.17645331594588,164.6224624365103,49923000,,160.84981536865234
2023-04-19,166.13885498046875,166.66413916449648,164.06743504696098,164.32513190006836,47720200,,161.26360168457032
2023-04-20,165.16757202148438,166.37672081756503,164.0872716600362,164.6125558769993,52456400,,161.70067901611327
2023-04-21,163.5520477294922,164.9693197226261,163.02676362208774,163.581779650813,58337300,,162.00246963500976
2023-04-24,163.85928344726562,164.12688585531714,162.43209076839383,163.53221719810315,41949600,,162.25420989990235
2023-04-25,162.31317138671875,164.83056990181737,162.27351874191552,163.72053781617427,48714100,,162.52626724243163
2023-04-26,162.3032684326172,163.80975151595447,161.3518165759181,161.6094983031377,45498800,,162.82904968261718
2023-04-27,166.91189575195312,167.0605553628374,163.7205383718447,163.7205383718447,64902300,,163.20765075683593
2023-04-28,168.17062377929688,168.33912487210148,166.3866475711114,166.99122199105844,55209200,,163.57039642333984
2023-05-01,168.0814208984375,168.93377143610374,167.1398745787384,167.77418090050938,52472900,,163.80281143188478
2023-05-02,167.04075622558594,168.8346681861752,166.04965166358446,168.57697132129934,48425700,,163.92025833129884
2023-05-03,165.96044921875,169.39958312064851,165.67303556145444,167.99221651388285,65136000,,164.01044921875
2023-05-04,164.31521606445312,165.55409674723404,162.848385570496,163.42322802207295,81235400,,164.1110466003418
2023-05-05,172.0260009765625,172.74950296676494,169.24098486047572,169.45902904213452,113316400,,164.55258331298828
2023-05-08,171.9566192626953,172.30351186374347,170.57898470464832,170.94568850577377,55962800,,165.12098083496093
2023-05-09,170.2420196533203,171.99626368287582,170.0735337075861,171.51063216959898,45326900,,165.66460037231445
2023-05-10,172.01608276367188,172.48190305646256,170.3708457773496,171.48089302464294,53724500,,166.33161239624025
2023-05-11,172.2043914794922,173.03691555552936,170.63844469472525,172.30350796985275,49514700,,166.7374694824219
2023-05-12,171.27145385742188,172.75023222471557,169.71326051226805,172.31354071030378,45497800,,167.1140235900879
2023-05-15,170.7752227783203,171.9066439525377,170.17973157337624,171.85701716146394,37266700,,167.46477584838868
2023-05-16,170.7752227783203,171.83716341624037,170.50725022169846,170.69582294139641,42110300,,167.75407867431642
2023-05-17,171.39056396484375,171.62874834746046,169.13764076744155,170.41794239989213,57951600,,168.01666412353515
2023-05-18,173.7327880859375,173.92136079838062,171.2813731121169,171.69821088195278,65496700,,168.4449249267578
2023-05-19,173.8419952392578,175.06273574474233,173.62364943906087,175.06273574474233,55772400,,168.95942230224608
2023-05-22,172.88919067382812,173.3953627585547,172.14483421414405,172.67084490080313,43570900,,169.41091766357422
2023-05-23,170.26907348632812,172.07538594402806,169.99118159190851,171.8272670994411,50747300,,169.8087127685547
2023-05-24,170.54698181152344,171.12261940369976,169.2369220607566,169.80262520604998,45143500,,170.2208984375
2023-05-25,171.6883087158203,172.59144973527793,170.39808778863198,171.11267122079872,56058300,,170.45971908569337
2023-05-26,174.1099395751953,174.44739269623702,171.80740468839622,172.01583117068753,54835000,,170.75668487548828
2023-05-30,175.96588134765625,177.64316710040904,175.24137858755796,175.62844336557998,55964400,,171.15090789794922
2023-05-31,175.91627502441406,178.0004795449162,175.42995659790392,175.99567487837328,99625300,,171.5946838378906
2023-06-01,178.73486328125,178.76463632708965,175.59863787172938,176.36284805087817,68901800,,172.23340454101563
2023-06-02,179.58839416503906,180.41215044305542,177.91110856290692,179.66779400262783,61945900,,172.99706344604493
2023-06-05,178.2287139892578,183.55830143833987,176.70029356551757,181.25576664565278,121946500,,173.30719909667968
2023-06-06,177.86151123046875,178.76465227479207,176.09489120388227,178.61578703231345,64848400,,173.60244369506836
2023-06-07,176.4819793701172,179.84647030311896,175.9857416800345,177.09730925974853,61944600,,173.9144416809082
2023-06-08,179.21127319335938,179.47923062220013,176.12467438732125,176.56135080082998,50214900,,174.2742012023926
2023-06-09,179.5983428955078,180.85877566456503,179.2708242183914,180.13427291189814,48870700,,174.64389877319337
2023-06-12,182.4070281982422,182.5062817855448,179.60825573516888,179.90600135310552,54274900,,175.20067749023437
2023-06-13,181.9306640625,182.76433976812353,181.06721530624512,181.42450705779416,54929100,,175.75844955444336
2023-06-14,182.5658416748047,183.00253326157815,180.6503714756975,181.9902041416917,57462900,,176.34798049926758
