Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,SMA_200,SMA_60,SMA_20
2023-01-31 00:00:00-05:00,118.12999725341797,123.13999938964844,118.12999725341797,121.7699966430664,1401900,0.0,0.0,,,
2023-02-01 00:00:00-05:00,122.19999694824219,126.95999908447266,121.3499984741211,125.23999786376953,1624500,0.0,0.0,,,
2023-02-02 00:00:00-05:00,126.02999877929688,128.8000030517578,123.69999694824219,125.41999816894531,1168200,0.0,0.0,,,
2023-02-03 00:00:00-05:00,122.9000015258789,126.98999786376953,120.88999938964844,121.9800033569336,1945500,0.0,0.0,,,
2023-02-06 00:00:00-05:00,120.0,121.13999938964844,117.19999694824219,118.7300033569336,1446300,0.0,0.0,,,
2023-02-07 00:00:00-05:00,118.4800033569336,121.26000213623047,115.80999755859375,120.55999755859375,1459300,0.0,0.0,,,
2023-02-08 00:00:00-05:00,118.38999938964844,119.37999725341797,115.83999633789062,116.62000274658203,1608000,0.0,0.0,,,
2023-02-09 00:00:00-05:00,119.0199966430664,119.43000030517578,113.93000030517578,114.77999877929688,1304500,0.0,0.0,,,
2023-02-10 00:00:00-05:00,112.73999786376953,115.86000061035156,110.69000244140625,115.30000305175781,1592800,0.0,0.0,,,
2023-02-13 00:00:00-05:00,116.44000244140625,119.1500015258789,112.7300033569336,118.6500015258789,2069600,0.0,0.0,,,
2023-02-14 00:00:00-05:00,116.5199966430664,122.77999877929688,116.08999633789062,122.43000030517578,1893500,0.0,0.0,,,
2023-02-15 00:00:00-05:00,121.75,125.87000274658203,121.56999969482422,125.66999816894531,1851300,0.0,0.0,,,
2023-02-16 00:00:00-05:00,132.85000610351562,143.5,130.4600067138672,131.1999969482422,5664800,0.0,0.0,,,
2023-02-17 00:00:00-05:00,131.2899932861328,136.22000122070312,129.74000549316406,131.47000122070312,2440400,0.0,0.0,,,
2023-02-21 00:00:00-05:00,129.0,131.33999633789062,118.19000244140625,118.72000122070312,2611700,0.0,0.0,,,
2023-02-22 00:00:00-05:00,118.63999938964844,125.20999908447266,116.6500015258789,125.18000030517578,2057400,0.0,0.0,,,
2023-02-23 00:00:00-05:00,127.5,128.8000030517578,123.56999969482422,125.47000122070312,1280000,0.0,0.0,,,
2023-02-24 00:00:00-05:00,122.87000274658203,123.88999938964844,121.7300033569336,122.36000061035156,1061800,0.0,0.0,,,
2023-02-27 00:00:00-05:00,123.93000030517578,126.12999725341797,122.94000244140625,123.58000183105469,1130300,0.0,0.0,,,
2023-02-28 00:00:00-05:00,123.41999816894531,124.05000305175781,121.29000091552734,121.70999908447266,1225600,0.0,0.0,,,122.34200019836426
2023-03-01 00:00:00-05:00,123.08000183105469,125.76000213623047,121.0999984741211,124.44999694824219,1396200,0.0,0.0,,,122.47600021362305
2023-03-02 00:00:00-05:00,123.22000122070312,125.9800033569336,122.0,125.3499984741211,928100,0.0,0.0,,,122.48150024414062
2023-03-03 00:00:00-05:00,125.97000122070312,126.33000183105469,121.77999877929688,125.54000091552734,1548100,0.0,0.0,,,122.48750038146973
2023-03-06 00:00:00-05:00,126.01000213623047,129.55999755859375,124.41000366210938,125.05999755859375,1764600,0.0,0.0,,,122.64150009155273
2023-03-07 00:00:00-05:00,125.19000244140625,127.4000015258789,123.66000366210938,124.47000122070312,1530200,0.0,0.0,,,122.92849998474121
2023-03-08 00:00:00-05:00,124.75,125.04000091552734,122.75,123.80000305175781,782400,0.0,0.0,,,123.09050025939942
2023-03-09 00:00:00-05:00,123.86000061035156,125.05000305175781,118.55000305175781,119.62999725341797,1478200,0.0,0.0,,,123.24099998474121
2023-03-10 00:00:00-05:00,119.0999984741211,119.0999984741211,113.83000183105469,115.31999969482422,1792800,0.0,0.0,,,123.26800003051758
2023-03-13 00:00:00-04:00,112.1500015258789,115.08999633789062,109.47000122070312,111.30999755859375,2002700,0.0,0.0,,,123.06849975585938
2023-03-14 00:00:00-04:00,115.06999969482422,119.45999908447266,114.19000244140625,116.23999786376953,1517200,0.0,0.0,,,122.9479995727539
2023-03-15 00:00:00-04:00,112.4000015258789,117.87999725341797,109.76000213623047,117.43000030517578,2593700,0.0,0.0,,,122.6979995727539
2023-03-16 00:00:00-04:00,116.31999969482422,122.08000183105469,115.80000305175781,121.26000213623047,1687500,0.0,0.0,,,122.47749977111816
2023-03-17 00:00:00-04:00,120.5999984741211,120.6500015258789,117.87000274658203,119.91999816894531,1551600,0.0,0.0,,,121.91349983215332
2023-03-20 00:00:00-04:00,121.44999694824219,122.27999877929688,117.58999633789062,118.58999633789062,1076400,0.0,0.0,,,121.26949958801269
